after_stage,rank,rider,cumulative_s,gap_s,stages_completed,status
1,150,E. AFFINI,1570,263,1,DERIVED_REPRODUCIBLE
1,151,P. HAGENES,1570,263,1,DERIVED_REPRODUCIBLE
1,152,P. EENKHOORN,1573,266,1,DERIVED_REPRODUCIBLE
1,153,A. YATES,1574,267,1,DERIVED_REPRODUCIBLE
1,154,N. POLITT,1574,267,1,DERIVED_REPRODUCIBLE
1,155,B. VAN MOER,1574,267,1,DERIVED_REPRODUCIBLE
1,156,J. NICOLAU,1575,268,1,DERIVED_REPRODUCIBLE
1,157,C. BOL,1578,271,1,DERIVED_REPRODUCIBLE
1,158,M. FRETIN,1579,272,1,DERIVED_REPRODUCIBLE
1,159,B. O'CONNOR,1580,273,1,DERIVED_REPRODUCIBLE
1,160,F. ENGELHARDT,1580,273,1,DERIVED_REPRODUCIBLE
1,161,K. O’BRIEN,1580,273,1,DERIVED_REPRODUCIBLE
1,162,J. DELBOVE,1581,274,1,DERIVED_REPRODUCIBLE
1,163,M. SCHMID,1582,275,1,DERIVED_REPRODUCIBLE
1,164,P. BAUHAUS,1584,277,1,DERIVED_REPRODUCIBLE
1,165,A. GATE,1584,277,1,DERIVED_REPRODUCIBLE
1,166,K. GRADEK,1584,277,1,DERIVED_REPRODUCIBLE
1,167,M. TEUNISSEN,1593,286,1,DERIVED_REPRODUCIBLE
1,168,D. BALLERINI,1593,286,1,DERIVED_REPRODUCIBLE
1,169,B. VAN LERBERGHE,1596,289,1,DERIVED_REPRODUCIBLE
1,170,T. MERLIER,1596,289,1,DERIVED_REPRODUCIBLE
1,171,P. ACKERMANN,1598,291,1,DERIVED_REPRODUCIBLE
1,172,L. DURBRIDGE,1598,291,1,DERIVED_REPRODUCIBLE
1,173,T. GUERNALEC,1599,292,1,DERIVED_REPRODUCIBLE
1,174,N. VINOKUROV,1601,294,1,DERIVED_REPRODUCIBLE
1,175,M. TRENTIN,1613,306,1,DERIVED_REPRODUCIBLE
1,176,M. HALLER,1613,306,1,DERIVED_REPRODUCIBLE
1,177,S. DILLIER,1614,307,1,DERIVED_REPRODUCIBLE
1,178,J. PHILIPSEN,1614,307,1,DERIVED_REPRODUCIBLE
1,179,J. RICKAERT,1615,308,1,DERIVED_REPRODUCIBLE
