stage_number,rank,rider,bib,team,finish_time_s,gap_s,bonus_s,penalty_s,status
1,86,D. CARUSO,73,BAHRAIN VICTORIOUS,1499,192,0,0,OBSERVED_FACT
1,87,A. CHARMIG,123,UNO-X MOBILITY,1499,192,0,0,OBSERVED_FACT
1,88,V. VAN MECHELEN,78,BAHRAIN VICTORIOUS,1500,193,0,0,OBSERVED_FACT
1,89,M. FRIGO,134,NSN CYCLING TEAM,1501,194,0,0,OBSERVED_FACT
1,90,K. NEILANDS,136,NSN CYCLING TEAM,1501,194,0,0,OBSERVED_FACT
1,91,T. VAN ASBROECK,138,NSN CYCLING TEAM,1501,194,0,0,OBSERVED_FACT
1,92,L. ASKEY,132,NSN CYCLING TEAM,1501,194,0,0,OBSERVED_FACT
1,93,B. THOMAS,168,COFIDIS,1502,195,0,0,OBSERVED_FACT
1,94,C. RUSSO,188,GROUPAMA-FDJ UNITED,1502,195,0,0,OBSERVED_FACT
1,95,L. GERMANI,185,GROUPAMA-FDJ UNITED,1502,195,0,0,OBSERVED_FACT
1,96,E. COSTIOU,184,GROUPAMA-FDJ UNITED,1502,195,0,0,OBSERVED_FACT
1,97,N. MÄRKL,216,TEAM PICNIC POSTNL,1503,196,0,0,OBSERVED_FACT
1,98,Q. PACHER,187,GROUPAMA-FDJ UNITED,1505,198,0,0,OBSERVED_FACT
1,99,T. BENOOT,52,DECATHLON CMA CGM TEAM,1506,199,0,0,OBSERVED_FACT
1,100,D. HOWSON,175,PINARELLO-Q36.5 PRO CYCLING TEAM,1508,201,0,0,OBSERVED_FACT
1,101,F. WRIGHT,178,PINARELLO-Q36.5 PRO CYCLING TEAM,1509,202,0,0,OBSERVED_FACT
1,102,E. RUBIO,148,MOVISTAR TEAM,1512,205,0,0,OBSERVED_FACT
1,103,M. STORER,196,TUDOR PRO CYCLING TEAM,1514,207,0,0,OBSERVED_FACT
1,104,L. VERVAEKE,98,SOUDAL QUICK-STEP,1515,208,0,0,OBSERVED_FACT
1,105,F. VERMEERSCH,6,UAE TEAM EMIRATES XRG,1515,208,0,0,OBSERVED_FACT
1,106,B. ARMIRAIL,13,TEAM VISMA | LEASE A BIKE,1515,208,0,0,OBSERVED_FACT
1,107,V. CAMPENAERTS,14,TEAM VISMA | LEASE A BIKE,1515,208,0,0,OBSERVED_FACT
1,108,H. ARTZ,152,LOTTO INTERMARCHE,1516,209,0,0,OBSERVED_FACT
1,109,X. MEURISSE,176,PINARELLO-Q36.5 PRO CYCLING TEAM,1517,210,0,0,OBSERVED_FACT
1,110,X. AZPARREN IRURZUN,172,PINARELLO-Q36.5 PRO CYCLING TEAM,1517,210,0,0,OBSERVED_FACT
1,111,C. BERTHET,182,GROUPAMA-FDJ UNITED,1521,214,0,0,OBSERVED_FACT
1,112,G. MARTIN GUYONNET,186,GROUPAMA-FDJ UNITED,1521,214,0,0,OBSERVED_FACT
1,113,J. STEWART,137,NSN CYCLING TEAM,1523,216,0,0,OBSERVED_FACT
1,114,S. OLDANI,226,CAJA RURAL-SEGUROS RGA,1525,218,0,0,OBSERVED_FACT
1,115,S. BERWICK,223,CAJA RURAL-SEGUROS RGA,1525,218,0,0,OBSERVED_FACT
1,116,A. DELETTRE,204,TOTALENERGIES,1528,221,0,0,OBSERVED_FACT
1,117,M. WALKER,48,EF EDUCATION - EASYPOST,1530,223,0,0,OBSERVED_FACT
1,118,R. PLUIMERS,195,TUDOR PRO CYCLING TEAM,1532,225,0,0,OBSERVED_FACT
1,119,A. DE KLEIJN,192,TUDOR PRO CYCLING TEAM,1532,225,0,0,OBSERVED_FACT
1,120,A. JOHANNESSEN,125,UNO-X MOBILITY,1537,230,0,0,OBSERVED_FACT
1,121,A. ARANBURU,163,COFIDIS,1541,234,0,0,OBSERVED_FACT
1,122,J. ABRAHAMSEN,122,UNO-X MOBILITY,1542,235,0,0,OBSERVED_FACT
1,123,M. CORT NIELSEN,124,UNO-X MOBILITY,1542,235,0,0,OBSERVED_FACT
1,124,M. LOUVEL,135,NSN CYCLING TEAM,1542,235,0,0,OBSERVED_FACT
1,125,M. MOHORIC,75,BAHRAIN VICTORIOUS,1543,236,0,0,OBSERVED_FACT
1,126,E. PLANCKAERT,106,ALPECIN-PREMIER TECH,1545,238,0,0,OBSERVED_FACT
1,127,A. SKAARSETH,126,UNO-X MOBILITY,1546,239,0,0,OBSERVED_FACT
1,128,N. PRODHOMME,57,DECATHLON CMA CGM TEAM,1548,241,0,0,OBSERVED_FACT
1,129,A. TURGIS,207,TOTALENERGIES,1550,243,0,0,OBSERVED_FACT
1,130,F. GAVIRIA,221,CAJA RURAL-SEGUROS RGA,1552,245,0,0,OBSERVED_FACT
1,131,M. CATTANEO,22,RED BULL - BORA - HANSGROHE,1553,246,0,0,OBSERVED_FACT
1,132,J. TRATNIK,26,RED BULL - BORA - HANSGROHE,1553,246,0,0,OBSERVED_FACT
1,133,G. ZIMMERMANN,158,LOTTO INTERMARCHE,1553,246,0,0,OBSERVED_FACT
1,134,L. CRAPS,154,LOTTO INTERMARCHE,1555,248,0,0,OBSERVED_FACT
1,135,L. SLOCK,155,LOTTO INTERMARCHE,1555,248,0,0,OBSERVED_FACT
1,136,B. VEISTROFFER,157,LOTTO INTERMARCHE,1555,248,0,0,OBSERVED_FACT
1,137,A. DE LIE,151,LOTTO INTERMARCHE,1556,249,0,0,OBSERVED_FACT
1,138,J. BIERMANS,164,COFIDIS,1557,250,0,0,OBSERVED_FACT
1,139,H. PAGE,167,COFIDIS,1557,250,0,0,OBSERVED_FACT
1,140,O. KOOIJ,55,DECATHLON CMA CGM TEAM,1559,252,0,0,OBSERVED_FACT
1,141,D. HOOLE,54,DECATHLON CMA CGM TEAM,1559,252,0,0,OBSERVED_FACT
1,142,J. OTRUBA,227,CAJA RURAL-SEGUROS RGA,1559,252,0,0,OBSERVED_FACT
1,143,R. STANNARD,76,BAHRAIN VICTORIOUS,1562,255,0,0,OBSERVED_FACT
1,144,S. WAERENSKJOLD,128,UNO-X MOBILITY,1562,255,0,0,OBSERVED_FACT
1,145,T. SKUJINS,36,LIDL-TREK,1563,256,0,0,OBSERVED_FACT
1,146,C. HARPER,173,PINARELLO-Q36.5 PRO CYCLING TEAM,1568,261,0,0,OBSERVED_FACT
1,147,C. VERONA,38,LIDL-TREK,1569,262,0,0,OBSERVED_FACT
1,148,M. PEDERSEN,33,LIDL-TREK,1569,262,0,0,OBSERVED_FACT
1,149,P. HAGENES,15,TEAM VISMA | LEASE A BIKE,1570,263,0,0,OBSERVED_FACT
1,150,E. AFFINI,12,TEAM VISMA | LEASE A BIKE,1570,263,0,0,OBSERVED_FACT
1,151,Q. SIMMONS,34,LIDL-TREK,1570,263,0,0,OBSERVED_FACT
1,152,P. EENKHOORN,92,SOUDAL QUICK-STEP,1573,266,0,0,OBSERVED_FACT
1,153,N. POLITT,5,UAE TEAM EMIRATES XRG,1574,267,0,0,OBSERVED_FACT
1,154,A. YATES,8,UAE TEAM EMIRATES XRG,1574,267,0,0,OBSERVED_FACT
1,155,B. VAN MOER,177,PINARELLO-Q36.5 PRO CYCLING TEAM,1574,267,0,0,OBSERVED_FACT
1,156,J. NICOLAU,225,CAJA RURAL-SEGUROS RGA,1575,268,0,0,OBSERVED_FACT
1,157,C. BOL,53,DECATHLON CMA CGM TEAM,1578,271,0,0,OBSERVED_FACT
1,158,M. FRETIN,165,COFIDIS,1579,272,0,0,OBSERVED_FACT
1,159,B. O'CONNOR,111,TEAM JAYCO ALULA,1580,273,0,0,OBSERVED_FACT
1,160,K. O’BRIEN,116,TEAM JAYCO ALULA,1580,273,0,0,OBSERVED_FACT
1,161,F. ENGELHARDT,114,TEAM JAYCO ALULA,1580,273,0,0,OBSERVED_FACT
1,162,J. DELBOVE,203,TOTALENERGIES,1581,274,0,0,OBSERVED_FACT
1,163,M. SCHMID,118,TEAM JAYCO ALULA,1582,275,0,0,OBSERVED_FACT
1,164,K. GRADEK,74,BAHRAIN VICTORIOUS,1584,277,0,0,OBSERVED_FACT
1,165,P. BAUHAUS,72,BAHRAIN VICTORIOUS,1584,277,0,0,OBSERVED_FACT
1,166,A. GATE,63,XDS ASTANA TEAM,1584,277,0,0,OBSERVED_FACT
1,167,M. TEUNISSEN,66,XDS ASTANA TEAM,1593,286,0,0,OBSERVED_FACT
1,168,D. BALLERINI,62,XDS ASTANA TEAM,1593,286,0,0,OBSERVED_FACT
1,169,B. VAN LERBERGHE,96,SOUDAL QUICK-STEP,1596,289,0,0,OBSERVED_FACT
1,170,T. MERLIER,91,SOUDAL QUICK-STEP,1596,289,0,0,OBSERVED_FACT
1,171,P. ACKERMANN,112,TEAM JAYCO ALULA,1598,291,0,0,OBSERVED_FACT
1,172,L. DURBRIDGE,113,TEAM JAYCO ALULA,1598,291,0,0,OBSERVED_FACT
1,173,T. GUERNALEC,205,TOTALENERGIES,1599,292,0,0,OBSERVED_FACT
1,174,N. VINOKUROV,68,XDS ASTANA TEAM,1601,294,0,0,OBSERVED_FACT
1,175,M. TRENTIN,197,TUDOR PRO CYCLING TEAM,1613,306,0,0,OBSERVED_FACT
