rider,bib,team,outcome,published_code,exit_stage_number,last_classified_stage
T. PIDCOCK,171,PINARELLO-Q36.5 PRO CYCLING TEAM,IN_RACE,,,20
X. AZPARREN IRURZUN,172,PINARELLO-Q36.5 PRO CYCLING TEAM,IN_RACE,,,20
C. HARPER,173,PINARELLO-Q36.5 PRO CYCLING TEAM,DNS,DNS-11,11,10
Q. HERMANS,174,PINARELLO-Q36.5 PRO CYCLING TEAM,IN_RACE,,,20
D. HOWSON,175,PINARELLO-Q36.5 PRO CYCLING TEAM,IN_RACE,,,20
X. MEURISSE,176,PINARELLO-Q36.5 PRO CYCLING TEAM,IN_RACE,,,20
B. VAN MOER,177,PINARELLO-Q36.5 PRO CYCLING TEAM,IN_RACE,,,20
F. WRIGHT,178,PINARELLO-Q36.5 PRO CYCLING TEAM,IN_RACE,,,20
R. GREGOIRE,181,GROUPAMA-FDJ UNITED,IN_RACE,,,20
C. BERTHET,182,GROUPAMA-FDJ UNITED,DNS,DNS-2,2,1
C. BRAZ AFONSO,183,GROUPAMA-FDJ UNITED,IN_RACE,,,20
E. COSTIOU,184,GROUPAMA-FDJ UNITED,IN_RACE,,,20
L. GERMANI,185,GROUPAMA-FDJ UNITED,IN_RACE,,,20
G. MARTIN GUYONNET,186,GROUPAMA-FDJ UNITED,IN_RACE,,,20
Q. PACHER,187,GROUPAMA-FDJ UNITED,IN_RACE,,,20
C. RUSSO,188,GROUPAMA-FDJ UNITED,IN_RACE,,,20
J. ALAPHILIPPE,191,TUDOR PRO CYCLING TEAM,IN_RACE,,,20
A. DE KLEIJN,192,TUDOR PRO CYCLING TEAM,DNF,DNF-6,6,5
M. HALLER,193,TUDOR PRO CYCLING TEAM,IN_RACE,,,20
M. HIRSCHI,194,TUDOR PRO CYCLING TEAM,IN_RACE,,,20
R. PLUIMERS,195,TUDOR PRO CYCLING TEAM,IN_RACE,,,20
M. STORER,196,TUDOR PRO CYCLING TEAM,IN_RACE,,,20
M. TRENTIN,197,TUDOR PRO CYCLING TEAM,DNS,DNS-10,10,9
Y. VOISARD,198,TUDOR PRO CYCLING TEAM,IN_RACE,,,20
J. JEGAT,201,TOTALENERGIES,IN_RACE,,,20
N. BREUILLARD,202,TOTALENERGIES,IN_RACE,,,20
J. DELBOVE,203,TOTALENERGIES,IN_RACE,,,20
A. DELETTRE,204,TOTALENERGIES,IN_RACE,,,20
T. GUERNALEC,205,TOTALENERGIES,IN_RACE,,,20
M. LE BERRE,206,TOTALENERGIES,IN_RACE,,,20
A. TURGIS,207,TOTALENERGIES,IN_RACE,,,20
M. VERCHER,208,TOTALENERGIES,IN_RACE,,,20
W. BARGUIL,211,TEAM PICNIC POSTNL,IN_RACE,,,20
F. BIESTERBOS,212,TEAM PICNIC POSTNL,DNS,DNS-13,13,12
P. BITTNER,213,TEAM PICNIC POSTNL,IN_RACE,,,20
J. DEGENKOLB,214,TEAM PICNIC POSTNL,IN_RACE,,,20
R. DHONDT,215,TEAM PICNIC POSTNL,IN_RACE,,,20
N. MÄRKL,216,TEAM PICNIC POSTNL,IN_RACE,,,20
J. VAN DEN BERG,217,TEAM PICNIC POSTNL,IN_RACE,,,20
F. VAN DEN BROEK,218,TEAM PICNIC POSTNL,IN_RACE,,,20
F. GAVIRIA,221,CAJA RURAL-SEGUROS RGA,DNS,DNS-13,13,12
A. BALDERSTONE,222,CAJA RURAL-SEGUROS RGA,IN_RACE,,,20
S. BERWICK,223,CAJA RURAL-SEGUROS RGA,IN_RACE,,,20
A. MOLENAAR,224,CAJA RURAL-SEGUROS RGA,DNS,DNS-6,6,5
J. NICOLAU,225,CAJA RURAL-SEGUROS RGA,IN_RACE,,,20
S. OLDANI,226,CAJA RURAL-SEGUROS RGA,IN_RACE,,,20
J. OTRUBA,227,CAJA RURAL-SEGUROS RGA,IN_RACE,,,20
J. PARRA,228,CAJA RURAL-SEGUROS RGA,DNS,DNS-18,18,17
