stage_number,kind,category,label,km_from_start,lon,lat,altitude_m,climb_length_km,avg_gradient_pct,final_straight_m,road_width_m,offset_source,status,description
6,SPRINT,,Sprint,59.181,0.13715041500006464,43.08448651900005,,,,,,aso-arcgis,NORMALIZED_FACT,"Sprint : sur la D935, à hauteur du panneau d'interdiction de tourner (à gauche, en sens inverse) précédant le n°59 à gauche et le centre de Radiologie à droite (moyens techniques du côté droit)."
6,SUMMIT,3,Catégorie 3,77.354,0.2799616350000633,43.11681229000004,518,3.00,6.80,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D938, à hauteur du portail vert à droite précédant la maison beige à droite (cour d'école en surplomb à gauche). Côte de 3ème catégorie. Altitude : 518 m. Distance : 3 km. Pente : 6,8 %."
6,SUMMIT,1,Catégorie 1,118.087,0.32738000000006195,42.94235000100008,1489,12.00,6.50,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D918, à hauteur du panneau ""Col d'Aspin 1 489 m"" à droite. Col de 1ère catégorie. Altitude : 1489 m. Distance : 12 km. Pente : 6,5 %."
6,SUMMIT,HC,Catégorie HC,147.790,0.14554147200004763,42.908505356000035,2115,17.10,7.30,,,aso-arcgis,NORMALIZED_FACT,"Sommet de col : sur la D918, à hauteur du panneau Col du Tourmalet à gauche en sens inverse et du buste de Jacques Goddet à droite. Col hors catégorie. Altitude : 2115 m. Distance : 17,1 km. Pente : 7,3 %."
6,FINISH,2,Arrivée/Catégorie 2,186.200,-0.012808504999952675,42.736843358000044,,,,40,5.00,aso-arcgis,NORMALIZED_FACT,"Arrivée : D128, route des Espécières, à l'extrémité d'une ligne droite finale de 40 m à vue et à l'issue d'une montée de 18,7 km à 3,7%. Largeur chaussée : 5 m,"
7,START_CEREMONIAL,,Départ fictif,,-0.5931335439999543,43.65344262700006,,,,,,,NORMALIZED_FACT,Départ fictif : avenue du Docteur Edouard Castera.
7,START_REAL,,Départ réel,0.000,-0.5878757149999387,43.668715716000065,,,,,,aso-arcgis,NORMALIZED_FACT,"Départ réel : sur la D933 S, avenue Henri Castelnau, à hauteur du panneau losange jaune et blanc de route prioritaire, suivant le carrefour avec le chemin de Peyruc à droite."
7,SPRINT,,Sprint,120.300,-0.42473055899995416,44.56136259600004,,,,,,aso-arcgis,NORMALIZED_FACT,"Sprint : sur la D125, route de Guillos, à hauteur de l'arrêt de bus à droite juste avant le carrefour avec la rue de la Fontaine à droite et le lotissement du Ruisseau du Pin à gauche."
7,SUMMIT,4,Catégorie 4,137.344,-0.32224999999994,44.66049000000004,86,1.20,4.40,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D13, à hauteur du portail vert de la maison n°23 a gauche. Côte de 4ème catégorie. Altitude : 86 m. Distance : 1,2 km. Pente : 4,4 %."
7,FINISH,,Arrivée,175.100,-0.5707640109999375,44.84585689900007,,,,560,6.00,aso-arcgis,NORMALIZED_FACT,"Arrivée : quai Louis XVIII, à l'extrémité d'une ligne droite finale de 560 m. Largeur chaussée : 6 m,"
8,START_CEREMONIAL,,Départ fictif,,0.722590000000082,45.18630999900006,,,,,,,NORMALIZED_FACT,Départ fictif
8,START_REAL,,Départ réel,0.000,0.7713100010000744,45.16456000000005,,,,,,aso-arcgis,NORMALIZED_FACT,"Départ réel : sur la N221, à hauteur du renfoncement à droite avec portail vert, 520 m après le rond-point N221-D5 E2."
8,SUMMIT,4,Catégorie 4,102.729,1.2155550000000517,44.803010000000086,216,3.70,3.30,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la rue Jacques de Maleville, entre les n°9 et 7 à droite (avant le portail d'entrée du n°7). Côte de 4ème catégorie. Altitude : 216 m. Distance : 3,7 km. Pente : 3,3 %."
8,SPRINT,,Sprint,122.867,1.0417300000000864,44.86298666700009,,,,,,aso-arcgis,NORMALIZED_FACT,"Sprint : sur la D703, voie de la Vallée, juste avant le panneau ""Camping *** à 300 m"" à droite (structures du côté droit) / avant la ligne, conserver une largeur de barriérage identique à celle de la ligne du sprint)."
8,SUMMIT,4,Catégorie 4,140.511,0.8723485710000887,44.84244285700004,191,2.20,5.30,,,aso-arcgis,NORMALIZED_FACT,"Sommet de côte : sur la D29, à hauteur du panneau ""virages dangereux"" à droite. Côte de 4ème catégorie. Altitude : 191 m. Distance : 2,2 km. Pente : 5,3 %."
8,FINISH,,Arrivée,180.400,0.503781176000075,44.84691235400004,,,,500,6.00,aso-arcgis,NORMALIZED_FACT,"Arrivée : plaine des jeux de Picquecailloux, allée Lucien Videau, à l'extrémité d'une ligne droite finale de 500 m. Largeur chaussée : 6 m,"
9,FINISH,,Arrivée,,2.307450000000074,45.54624000000007,,,,500,5.50,,NORMALIZED_FACT,"Arrivée : avenue Thiers, à l'extrémité d'une ligne droite finale de 500 m. Largeur chaussée : 5,50 m,"
