stage_number,km_from_start,lon,lat,dem_count,elevation_min_m,elevation_max_m,elevation_mean_m,spread_m,sources
3,3.0000,2.2225304370628187,41.632999815973555,1,205.00,205.00,205.00,0.00,COPERNICUS_GLO90
3,3.2000,2.2202144906240795,41.633474033308936,1,207.00,207.00,207.00,0.00,COPERNICUS_GLO90
3,3.4000,2.2180154810786137,41.63419112973035,1,202.00,202.00,202.00,0.00,COPERNICUS_GLO90
3,3.6000,2.2156516851912764,41.63417067407651,1,222.00,222.00,222.00,0.00,COPERNICUS_GLO90
3,3.8000,2.213433479477991,41.63430437324543,1,231.00,231.00,231.00,0.00,COPERNICUS_GLO90
3,4.0000,2.21177,41.63421955147002,1,234.00,234.00,234.00,0.00,COPERNICUS_GLO90
3,4.2000,2.209726899519826,41.63414518719312,1,246.00,246.00,246.00,0.00,COPERNICUS_GLO90
3,4.4000,2.2074929043792455,41.634744730413836,1,266.00,266.00,266.00,0.00,COPERNICUS_GLO90
3,4.6000,2.205642637907989,41.63588179416571,1,253.00,253.00,253.00,0.00,COPERNICUS_GLO90
3,4.8000,2.2036102697957602,41.63684486510212,1,263.00,263.00,263.00,0.00,COPERNICUS_GLO90
3,5.0000,2.201865695771477,41.63807937673648,1,269.00,269.00,269.00,0.00,COPERNICUS_GLO90
3,5.2000,2.1999706001143267,41.63918762180891,1,276.00,276.00,276.00,0.00,COPERNICUS_GLO90
3,5.4000,2.19804581986861,41.640266302280615,1,283.00,283.00,283.00,0.00,COPERNICUS_GLO90
3,5.6000,2.1958199018900757,41.63997442264224,1,276.00,276.00,276.00,0.00,COPERNICUS_GLO90
3,5.8000,2.1939328331862016,41.63907979601838,1,269.00,269.00,269.00,0.00,COPERNICUS_GLO90
3,6.0000,2.1918378571894443,41.63856392859472,1,278.00,278.00,278.00,0.00,COPERNICUS_GLO90
3,6.2000,2.189970057842916,41.63750946026006,1,286.00,286.00,286.00,0.00,COPERNICUS_GLO90
3,6.4000,2.187628546209158,41.63770676012478,1,285.00,285.00,285.00,0.00,COPERNICUS_GLO90
3,6.6000,2.1855475875690886,41.636964460895264,1,273.00,273.00,273.00,0.00,COPERNICUS_GLO90
3,6.8000,2.183359448032366,41.63621570470777,1,265.00,265.00,265.00,0.00,COPERNICUS_GLO90
3,7.0000,2.181166105746262,41.63547549477876,1,257.00,257.00,257.00,0.00,COPERNICUS_GLO90
3,7.2000,2.1788509051925082,41.6350097894601,1,243.00,243.00,243.00,0.00,COPERNICUS_GLO90
3,7.4000,2.1766146124173966,41.6343573062087,1,235.00,235.00,235.00,0.00,COPERNICUS_GLO90
3,7.6000,2.1750404068499356,41.633026402568724,1,231.00,231.00,231.00,0.00,COPERNICUS_GLO90
3,7.8000,2.172939565670112,41.633565363705415,1,243.00,243.00,243.00,0.00,COPERNICUS_GLO90
3,8.0000,2.1712949486107704,41.63486506607187,1,248.00,248.00,248.00,0.00,COPERNICUS_GLO90
3,8.2000,2.1705542979024215,41.63656301238169,1,258.00,258.00,258.00,0.00,COPERNICUS_GLO90
3,8.4000,2.1700409967349215,41.63831625832335,1,265.00,265.00,265.00,0.00,COPERNICUS_GLO90
3,8.6000,2.1686672142448113,41.639776275539425,1,261.00,261.00,261.00,0.00,COPERNICUS_GLO90
3,8.8000,2.166600012925854,41.64066738793239,1,251.00,251.00,251.00,0.00,COPERNICUS_GLO90
3,9.0000,2.1643427792157195,41.6412696289449,1,246.00,246.00,246.00,0.00,COPERNICUS_GLO90
3,9.2000,2.1629942918395226,41.64271369870325,1,249.00,249.00,249.00,0.00,COPERNICUS_GLO90
3,9.4000,2.1618163810938364,41.64427034268739,1,264.00,264.00,264.00,0.00,COPERNICUS_GLO90
3,9.6000,2.162133926062584,41.645971831000196,1,282.00,282.00,282.00,0.00,COPERNICUS_GLO90
3,9.8000,2.161770531342396,41.647708405972814,1,289.00,289.00,289.00,0.00,COPERNICUS_GLO90
3,10.0000,2.1615540142032574,41.64944403787535,1,307.00,307.00,307.00,0.00,COPERNICUS_GLO90
3,10.2000,2.1620949952604565,41.65117501105893,1,308.00,308.00,308.00,0.00,COPERNICUS_GLO90
3,10.4000,2.1613275243407357,41.65278267038515,1,325.00,325.00,325.00,0.00,COPERNICUS_GLO90
3,10.6000,2.1616090722316668,41.65456781725717,1,342.00,342.00,342.00,0.00,COPERNICUS_GLO90
3,10.8000,2.1620859453392347,41.65633080868732,1,352.00,352.00,352.00,0.00,COPERNICUS_GLO90
