bib,rider,team
85,D. GODON,NETCOMPANY INEOS CYCLING TEAM
86,M. KWIATKOWSKI,NETCOMPANY INEOS CYCLING TEAM
87,J. TARLING,NETCOMPANY INEOS CYCLING TEAM
88,K. VAUQUELIN,NETCOMPANY INEOS CYCLING TEAM
91,T. MERLIER,SOUDAL QUICK-STEP
92,P. EENKHOORN,SOUDAL QUICK-STEP
93,V. PARET PEINTRE,SOUDAL QUICK-STEP
94,J. STUYVEN,SOUDAL QUICK-STEP
95,D. VAN BAARLE,SOUDAL QUICK-STEP
96,B. VAN LERBERGHE,SOUDAL QUICK-STEP
97,I. VAN WILDER,SOUDAL QUICK-STEP
98,L. VERVAEKE,SOUDAL QUICK-STEP
101,M. VAN DER POEL,ALPECIN-PREMIER TECH
102,R. DEBRUYNE,ALPECIN-PREMIER TECH
103,S. DILLIER,ALPECIN-PREMIER TECH
104,T. MARSMAN,ALPECIN-PREMIER TECH
105,J. PHILIPSEN,ALPECIN-PREMIER TECH
106,E. PLANCKAERT,ALPECIN-PREMIER TECH
107,J. RICKAERT,ALPECIN-PREMIER TECH
108,E. VERSTRYNGE,ALPECIN-PREMIER TECH
111,B. O'CONNOR,TEAM JAYCO ALULA
112,P. ACKERMANN,TEAM JAYCO ALULA
113,L. DURBRIDGE,TEAM JAYCO ALULA
114,F. ENGELHARDT,TEAM JAYCO ALULA
115,M. MATTHEWS,TEAM JAYCO ALULA
116,K. O’BRIEN,TEAM JAYCO ALULA
117,L. PLAPP,TEAM JAYCO ALULA
118,M. SCHMID,TEAM JAYCO ALULA
121,T. JOHANNESSEN,UNO-X MOBILITY
122,J. ABRAHAMSEN,UNO-X MOBILITY
123,A. CHARMIG,UNO-X MOBILITY
124,M. CORT NIELSEN,UNO-X MOBILITY
125,A. JOHANNESSEN,UNO-X MOBILITY
126,A. SKAARSETH,UNO-X MOBILITY
127,T. TRÆEN,UNO-X MOBILITY
128,S. WAERENSKJOLD,UNO-X MOBILITY
131,B. GIRMAY,NSN CYCLING TEAM
132,L. ASKEY,NSN CYCLING TEAM
133,G. BENNETT,NSN CYCLING TEAM
134,M. FRIGO,NSN CYCLING TEAM
135,M. LOUVEL,NSN CYCLING TEAM
136,K. NEILANDS,NSN CYCLING TEAM
137,J. STEWART,NSN CYCLING TEAM
138,T. VAN ASBROECK,NSN CYCLING TEAM
141,C. UIJTDEBROEKS,MOVISTAR TEAM
142,P. CASTRILLO,MOVISTAR TEAM
143,J. CEPEDA,MOVISTAR TEAM
144,R. GARCIA,MOVISTAR TEAM
145,M. HEßMANN,MOVISTAR TEAM
146,N. OLIVEIRA,MOVISTAR TEAM
147,J. ROMO,MOVISTAR TEAM
148,E. RUBIO,MOVISTAR TEAM
151,A. DE LIE,LOTTO INTERMARCHE
152,H. ARTZ,LOTTO INTERMARCHE
153,J. BERCKMOES,LOTTO INTERMARCHE
154,L. CRAPS,LOTTO INTERMARCHE
155,L. SLOCK,LOTTO INTERMARCHE
156,L. VAN EETVELT,LOTTO INTERMARCHE
157,B. VEISTROFFER,LOTTO INTERMARCHE
158,G. ZIMMERMANN,LOTTO INTERMARCHE
161,I. IZAGIRRE,COFIDIS
162,P. ALLEGAERT,COFIDIS
163,A. ARANBURU,COFIDIS
164,J. BIERMANS,COFIDIS
165,M. FRETIN,COFIDIS
166,A. KIRSCH,COFIDIS
167,H. PAGE,COFIDIS
168,B. THOMAS,COFIDIS
171,T. PIDCOCK,PINARELLO-Q36.5 PRO CYCLING TEAM
172,X. AZPARREN IRURZUN,PINARELLO-Q36.5 PRO CYCLING TEAM
173,C. HARPER,PINARELLO-Q36.5 PRO CYCLING TEAM
174,Q. HERMANS,PINARELLO-Q36.5 PRO CYCLING TEAM
175,D. HOWSON,PINARELLO-Q36.5 PRO CYCLING TEAM
176,X. MEURISSE,PINARELLO-Q36.5 PRO CYCLING TEAM
177,B. VAN MOER,PINARELLO-Q36.5 PRO CYCLING TEAM
178,F. WRIGHT,PINARELLO-Q36.5 PRO CYCLING TEAM
181,R. GREGOIRE,GROUPAMA-FDJ UNITED
182,C. BERTHET,GROUPAMA-FDJ UNITED
183,C. BRAZ AFONSO,GROUPAMA-FDJ UNITED
184,E. COSTIOU,GROUPAMA-FDJ UNITED
185,L. GERMANI,GROUPAMA-FDJ UNITED
186,G. MARTIN GUYONNET,GROUPAMA-FDJ UNITED
187,Q. PACHER,GROUPAMA-FDJ UNITED
188,C. RUSSO,GROUPAMA-FDJ UNITED
191,J. ALAPHILIPPE,TUDOR PRO CYCLING TEAM
192,A. DE KLEIJN,TUDOR PRO CYCLING TEAM
193,M. HALLER,TUDOR PRO CYCLING TEAM
194,M. HIRSCHI,TUDOR PRO CYCLING TEAM
195,R. PLUIMERS,TUDOR PRO CYCLING TEAM
196,M. STORER,TUDOR PRO CYCLING TEAM
197,M. TRENTIN,TUDOR PRO CYCLING TEAM
198,Y. VOISARD,TUDOR PRO CYCLING TEAM
201,J. JEGAT,TOTALENERGIES
202,N. BREUILLARD,TOTALENERGIES
203,J. DELBOVE,TOTALENERGIES
